No,Name,Bundesland,Schultyp,E-Mail
1,Ameisenbergschule Grund- und Hauptschule,Baden-Württemberg,Öffentlich,poststelle.ameisenbergschule@stuttgart.de
2,Falkert-Schule Grund- und Hauptschule mit Werkrealschule,Baden-Württemberg,Öffentlich,falkertschule@stuttgart.de
3,Vogelsangschule Grundschule,Baden-Württemberg,Öffentlich,
4,Grund- und Werkrealschule Gablenberg,Baden-Württemberg,Öffentlich,gwrs.gablenberg@stuttgart.de
5,Grundschule Gaisburg,Baden-Württemberg,Öffentlich,gsgaisburg@stuttgart.de
6,Heusteigschule Grund- und Werkrealschule,Baden-Württemberg,Öffentlich, heusteigschule@stuttgart.de
7,Grundschule im Sonnigen Winkel,Baden-Württemberg,Öffentlich,schule.im.sonnigen.winkel@stuttgart. de
8,Grundschule im Sonnigen Winkel Außenstelle Leibnizstraße,Baden-Württemberg,Öffentlich,
9,Jakobschule Grundschule,Baden-Württemberg,Öffentlich,jakobschule@stuttgart.de
10,Lerchenrainschule Grundschule,Baden-Württemberg,Öffentlich,lerchenrainschule@stuttgart.de
11,Wilhelm-Hauff-Schule Grundschule,Baden-Württemberg,Öffentlich,wilhelm-hauff-grundschule@web.de
12,Mühlbachhof-Grundschule,Baden-Württemberg,Öffentlich,Muehlbachhofschule@stuttgart.de
13,Grund- und Werkrealschule Ostheim,Baden-Württemberg,Öffentlich,
14,Pragschule Grundschule,Baden-Württemberg,Öffentlich,poststelle.pragschule@stuttgart.de
15,Raitelsbergschule Grund- und Hauptschule,Baden-Württemberg,Öffentlich,raitelsbergschule@stuttgart.de
16,Römerschule Grundschule,Baden-Württemberg,Öffentlich,roemerschule@Stuttgart.de 
17,Rosensteinschule Grund- und Werkrealschule,Baden-Württemberg,Öffentlich,ingrid.macher@stuttgart.de
18,Schwabschule Grundschule,Baden-Württemberg,Öffentlich,schwabschule@stuttgart.de
19,Friedensschule Werkrealschule,Baden-Württemberg,Öffentlich,
20,Fuchsrainschule Grundschule,Baden-Württemberg,Öffentlich,fuchsrainschule@stuttgart.de
21,Kirchhaldenschule Grundschule Botnang,Baden-Württemberg,Öffentlich,kirchhaldenschule@stuttgart.de
22,Franz-Schubert-Schule Grundschule Botnang,Baden-Württemberg,Öffentlich,Franz-Schubert-Schule@stuttgart.de
23,Bismarckschule Grund- und Werkrealschule Feuerbach,Baden-Württemberg,Öffentlich,
24,Bachschule Grundschule Feuerbach,Baden-Württemberg,Öffentlich,bachschule@stuttgart.de
25,Hohewartschule Grundschule,Baden-Württemberg,Öffentlich,hohewartschule@stuttgart.de
26,Reisachschule Grund- und Hauptschule Weilimdorf,Baden-Württemberg,Öffentlich,
27,Wolfbuschschule Grund- und Werkrealschule Weilimdorf,Baden-Württemberg,Öffentlich,poststelle@s-wolfbusch.schule.bwl.de
28,Engelbergschule Grundschule Bergheim,Baden-Württemberg,Öffentlich,poststelle.engelbergschule@stuttgart.de
29,Rappachschule Grund- und Hauptschule mit Werkrealschule Giebel,Baden-Württemberg,Öffentlich,lange@rappachschule.de
30,Herbert-Hoover-Schule Grund- und Werkrealschule Freiberg,Baden-Württemberg,Öffentlich,herbert-hoover-schule@stuttgart.de
31,Grund- und Hauptschule Stammheim,Baden-Württemberg,Öffentlich,poststelle.gwrs.stammheim@stuttgart.de 
32,Grundschule Zazenhausen,Baden-Württemberg,Öffentlich,gs.zazenhausen@stuttgart.de
33,Hohensteinschule Grund- und Werkrealschule Zuffenhausen,Baden-Württemberg,Öffentlich,
34,Hohensteinschule Grund- und Werkrealschule Zuffenhausen Außenstelle Grundschule Marconistr.,Baden-Württemberg,Öffentlich,Hohensteinschule@Stuttgart.de
35,Rosenschule Grundschule Zuffenhausen,Baden-Württemberg,Öffentlich, rosenschule@stuttgart.de
36,Neuwirtshausschule Grundschule,Baden-Württemberg,Öffentlich,neuwirtshausschule@stuttgart.de
37,Silcherschule Grundschule Rot,Baden-Württemberg,Öffentlich,silcherschule@stuttgart.de
38,Uhland-Schule Grund- und Werkrealschule Rot,Baden-Württemberg,Öffentlich,uhlandschule@stuttgart.de
39,Altenburgschule,Baden-Württemberg,Öffentlich,altenburgschule@stuttgart.de
